    ;GRANTEE_SCHEMA_NAME            ;GRANTEE                                                                           ;GRANTEE_TYPE;GRANTOR                           ;OBJECT_TYPE         ;SCHEMA_NAME                                                                       ;OBJECT_NAME                                                                     ;COLUMN_NAME;PRIVILEGE                                                           ;IS_GRANTABLE;IS_VALID
81  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;DEVELOPMENT                                                         ;TRUE        ;TRUE    
82  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;MONITOR ADMIN                                                       ;TRUE        ;TRUE    
83  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;BACKUP ADMIN                                                        ;TRUE        ;TRUE    
84  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;BACKUP OPERATOR                                                     ;TRUE        ;TRUE    
85  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;INIFILE ADMIN                                                       ;TRUE        ;TRUE    
86  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;SERVICE ADMIN                                                       ;TRUE        ;TRUE    
87  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;TRACE ADMIN                                                         ;TRUE        ;TRUE    
88  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;RESOURCE ADMIN                                                      ;TRUE        ;TRUE    
89  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;ENCRYPTION ROOT KEY ADMIN                                           ;TRUE        ;TRUE    
90  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;SAVEPOINT ADMIN                                                     ;TRUE        ;TRUE    
91  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;LOG ADMIN                                                           ;TRUE        ;TRUE    
92  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;VERSION ADMIN                                                       ;TRUE        ;TRUE    
93  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;OPTIMIZER ADMIN                                                     ;TRUE        ;TRUE    
94  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;SESSION ADMIN                                                       ;TRUE        ;TRUE    
95  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;TENANT ADMIN                                                        ;TRUE        ;TRUE    
96  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CREATE SCENARIO                                                     ;TRUE        ;TRUE    
97  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CREATE STRUCTURED PRIVILEGE                                         ;TRUE        ;TRUE    
98  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CATALOG READ                                                        ;TRUE        ;TRUE    
