   ;GRANTEE_SCHEMA_NAME;GRANTEE                                                                           ;GRANTEE_TYPE;ROLE_SCHEMA_NAME               ;ROLE_NAME                                                     ;GRANTOR                           ;IS_GRANTABLE;IS_GRANTED_BY_LDAP
33 ;?                  ;XSSQLCC_AUTO_USER_3094F258A8978F7A7558E080D94C8500B0772804AA2663AF6058A40D719CA72D;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
34 ;?                  ;SAPDBCTRL                                                                         ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
35 ;?                  ;SAPS4H_RT_7937#OO                                                                 ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
36 ;?                  ;FDT_CP_BR_SOURCE_5054#OO                                                          ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
37 ;?                  ;_SYS_TASK                                                                         ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
38 ;?                  ;_SYS_PLAN_STABILITY                                                               ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
39 ;?                  ;TEST_BASIS                                                                        ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
40 ;?                  ;FDT_CP_TEST_SMC_VIEWS_5622#DI                                                     ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
41 ;?                  ;BA1_HDI_FR_RTC_GEN_2470#OO                                                        ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
42 ;?                  ;SAPDBCTRL                                                                         ;USER        ;?                              ;MONITORING                                                    ;SYSTEM                            ;FALSE       ;FALSE             
43 ;?                  ;sap.hana.admin.roles::SolutionManagerMonitoring                                   ;ROLE        ;?                              ;MONITORING                                                    ;_SYS_REPO                         ;FALSE       ;FALSE             
44 ;?                  ;USER                                                                              ;ROLE        ;?                              ;MONITORING                                                    ;SYSTEM                            ;FALSE       ;FALSE             
45 ;?                  ;DBA_COCKPIT                                                                       ;ROLE        ;?                              ;MONITORING                                                    ;SYSTEM                            ;FALSE       ;FALSE             
46 ;?                  ;SYSTEM                                                                            ;USER        ;?                              ;MODELING                                                      ;SYS                               ;TRUE        ;FALSE             
47 ;?                  ;BOROCHOVG                                                                         ;USER        ;?                              ;MODELING                                                      ;SYSTEM                            ;FALSE       ;FALSE             
48 ;?                  ;SYSTEM                                                                            ;USER        ;?                              ;CONTENT_ADMIN                                                 ;SYS                               ;TRUE        ;FALSE             
49 ;?                  ;USER                                                                              ;ROLE        ;?                              ;CONTENT_ADMIN                                                 ;SYSTEM                            ;FALSE       ;FALSE             
50 ;?                  ;FDT_TEST_CONTAINER_GEN_2_0626#OO                                                  ;USER        ;FDT_TEST_DATA_CONT_GEN_8437    ;container_access#                                             ;FDT_TEST_DATA_CONT_GEN_8437#OO    ;FALSE       ;FALSE             
51 ;?                  ;FDT_TEST_DATA_CONT_GEN_8437#OO                                                    ;USER        ;FDT_TEST_DATA_CONT_GEN_8437    ;container_access#                                             ;SYS                               ;TRUE        ;FALSE             
52 ;?                  ;FDT_TEST_CONTAINER_GEN_7454#OO                                                    ;USER        ;FDT_TEST_DATA_CONT_GEN_8437    ;container_access#                                             ;FDT_TEST_DATA_CONT_GEN_8437#OO    ;FALSE       ;FALSE             
53 ;?                  ;FDT_TEST_DATA_CONT_GEN_8437#OO                                                    ;USER        ;FDT_TEST_DATA_CONT_GEN_8437    ;container_select#                                             ;SYS                               ;TRUE        ;FALSE             
54 ;?                  ;SAPHANADB                                                                         ;USER        ;?                              ;AFLPM_CREATOR_ERASER_EXECUTE                                  ;SYSTEM                            ;FALSE       ;FALSE             
55 ;?                  ;sap.pa.apl.base.roles::APL_EXECUTE                                                ;ROLE        ;?                              ;AFLPM_CREATOR_ERASER_EXECUTE                                  ;_SYS_REPO                         ;FALSE       ;FALSE             
56 ;?                  ;SYSTEM                                                                            ;USER        ;?                              ;AFLPM_CREATOR_ERASER_EXECUTE                                  ;SYS                               ;TRUE        ;FALSE             
57 ;?                  ;SYSTEM                                                                            ;USER        ;?                              ;AFLPM_ONLINE_REGISTRATION_EXECUTE                             ;SYS                               ;TRUE        ;FALSE             
58 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;AFL__SYS_AFL_ERPA_EXECUTE                                     ;SYSTEM                            ;FALSE       ;FALSE             
59 ;?                  ;DBACOCKPIT                                                                        ;USER        ;?                              ;AFL__SYS_AFL_ERPA_EXECUTE                                     ;SYSTEM                            ;FALSE       ;FALSE             
60 ;?                  ;_SYS_AFL                                                                          ;USER        ;?                              ;AFL__SYS_AFL_ERPA_EXECUTE                                     ;SYS                               ;TRUE        ;FALSE             
61 ;?                  ;SAPHANADB                                                                         ;USER        ;?                              ;AFL__SYS_AFL_ERPA_EXECUTE                                     ;SYSTEM                            ;FALSE       ;FALSE             
62 ;?                  ;_SYS_AFL                                                                          ;USER        ;?                              ;AFL__SYS_AFL_ERPA_EXECUTE_WITH_GRANT_OPTION                   ;SYS                               ;TRUE        ;FALSE             
63 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;AFL__SYS_AFL_ERPA_EXECUTE_WITH_GRANT_OPTION                   ;_SYS_AFL                          ;FALSE       ;FALSE             
64 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.wdisp.admin::WebDispatcherMonitor                 ;SYS                               ;TRUE        ;FALSE             
65 ;?                  ;sap.hana.xs.wdisp.admin::WebDispatcherAdmin                                       ;ROLE        ;?                              ;sap.hana.xs.wdisp.admin::WebDispatcherMonitor                 ;_SYS_REPO                         ;FALSE       ;FALSE             
66 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.translationTool.roles::translator                 ;SYS                               ;TRUE        ;FALSE             
67 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.selfService.user.roles::USSExecutor               ;SYS                               ;TRUE        ;FALSE             
68 ;?                  ;XSSQLCC_AUTO_USER_3094F258A8978F7A7558E080D94C8500B0772804AA2663AF6058A40D719CA72D;USER        ;?                              ;sap.hana.xs.selfService.user.roles::USSExecutor               ;_SYS_REPO                         ;FALSE       ;FALSE             
69 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.selfService.admin.roles::USSAdministrator         ;SYS                               ;TRUE        ;FALSE             
70 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.oAuth.role::oAuthAdmin                            ;SYS                               ;TRUE        ;FALSE             
71 ;?                  ;sap.hana.xs.lm.roles::SLP_CTS_deploy_admin                                        ;ROLE        ;?                              ;sap.hana.xs.lm.roles::Transport                               ;_SYS_REPO                         ;FALSE       ;FALSE             
72 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::Transport                               ;SYS                               ;TRUE        ;FALSE             
73 ;?                  ;sap.hana.xs.lm.roles::ExecuteTransport                                            ;ROLE        ;?                              ;sap.hana.xs.lm.roles::Transport                               ;_SYS_REPO                         ;FALSE       ;FALSE             
74 ;?                  ;sap.hana.xs.lm.roles::SLP_CTS_ping_admin                                          ;ROLE        ;?                              ;sap.hana.xs.lm.roles::SLP_display                             ;_SYS_REPO                         ;FALSE       ;FALSE             
75 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::SLP_display                             ;SYS                               ;TRUE        ;FALSE             
76 ;?                  ;sap.hana.xs.lm.pe.roles::PE_Execution                                             ;ROLE        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Display                           ;_SYS_REPO                         ;FALSE       ;FALSE             
77 ;?                  ;sap.hana.xs.lm.roles::Display                                                     ;ROLE        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Display                           ;_SYS_REPO                         ;FALSE       ;FALSE             
78 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Display                           ;SYS                               ;TRUE        ;FALSE             
79 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.formLogin.profile::ProfileOwner                   ;SYS                               ;TRUE        ;FALSE             
80 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.dt.base.server.persistency::WhiteListRTAccess     ;SYS                               ;TRUE        ;FALSE             
81 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.dt.base::restapibase                              ;SYS                               ;TRUE        ;FALSE             
82 ;?                  ;sap.hana.xs.dt.base::restapi                                                      ;ROLE        ;?                              ;sap.hana.xs.dt.base::restapibase                              ;_SYS_REPO                         ;FALSE       ;FALSE             
83 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.debugger::Debugger                                ;SYS                               ;TRUE        ;FALSE             
84 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::TrustStoreViewer                     ;SYS                               ;TRUE        ;FALSE             
85 ;?                  ;sap.hana.xs.admin.roles::TrustStoreAdministrator                                  ;ROLE        ;?                              ;sap.hana.xs.admin.roles::TrustStoreViewer                     ;_SYS_REPO                         ;FALSE       ;FALSE             
86 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::SQLCCViewer                          ;SYS                               ;TRUE        ;FALSE             
87 ;?                  ;sap.hana.xs.admin.roles::SQLCCAdministrator                                       ;ROLE        ;?                              ;sap.hana.xs.admin.roles::SQLCCViewer                          ;_SYS_REPO                         ;FALSE       ;FALSE             
88 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::SMTPDestViewer                       ;SYS                               ;TRUE        ;FALSE             
89 ;?                  ;sap.hana.xs.admin.roles::SMTPDestAdministrator                                    ;ROLE        ;?                              ;sap.hana.xs.admin.roles::SMTPDestViewer                       ;_SYS_REPO                         ;FALSE       ;FALSE             
90 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::SAMLViewer                           ;SYS                               ;TRUE        ;FALSE             
91 ;?                  ;sap.hana.xs.admin.roles::SAMLAdministrator                                        ;ROLE        ;?                              ;sap.hana.xs.admin.roles::SAMLViewer                           ;_SYS_REPO                         ;FALSE       ;FALSE             
92 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::RuntimeConfViewer                    ;SYS                               ;TRUE        ;FALSE             
93 ;?                  ;sap.hana.xs.admin.roles::RuntimeConfAdministrator                                 ;ROLE        ;?                              ;sap.hana.xs.admin.roles::RuntimeConfViewer                    ;_SYS_REPO                         ;FALSE       ;FALSE             
94 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::NetDestViewer                        ;SYS                               ;TRUE        ;FALSE             
95 ;?                  ;sap.hana.xs.admin.roles::NetDestAdministrator                                     ;ROLE        ;?                              ;sap.hana.xs.admin.roles::NetDestViewer                        ;_SYS_REPO                         ;FALSE       ;FALSE             
96 ;?                  ;sap.hana.xs.admin.roles::JobAdministrator                                         ;ROLE        ;?                              ;sap.hana.xs.admin.roles::JobViewer                            ;_SYS_REPO                         ;FALSE       ;FALSE             
97 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::JobViewer                            ;SYS                               ;TRUE        ;FALSE             
98 ;?                  ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingViewer                           ;ROLE        ;?                              ;sap.hana.xs.admin.roles::JobViewer                            ;_SYS_REPO                         ;FALSE       ;FALSE             
99 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::HTTPDestViewer                       ;SYS                               ;TRUE        ;FALSE             
100;?                  ;sap.hana.xs.admin.roles::HTTPDestAdministrator                                    ;ROLE        ;?                              ;sap.hana.xs.admin.roles::HTTPDestViewer                       ;_SYS_REPO                         ;FALSE       ;FALSE             
101;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.uis.db::SITE_USER                                    ;SYS                               ;TRUE        ;FALSE             
102;?                  ;sap.hana.admin.roles::SolutionManagerMonitoring                                   ;ROLE        ;?                              ;sap.hana.uis.db::SITE_USER                                    ;_SYS_REPO                         ;FALSE       ;FALSE             
103;?                  ;sap.hana.xs.lm.roles::Developer                                                   ;ROLE        ;?                              ;sap.hana.uis.db::SITE_USER                                    ;_SYS_REPO                         ;FALSE       ;FALSE             
104;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.uis.db::SITE_DESIGNER                                ;SYS                               ;TRUE        ;FALSE             
105;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.roles::SecurityTester                            ;SYS                               ;TRUE        ;FALSE             
106;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.core.roles::Consumer                             ;SYS                               ;TRUE        ;FALSE             
107;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.core.base.roles::Base                            ;SYS                               ;TRUE        ;FALSE             
108;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.admin.roles::RestrictedUserDBSLAccess                ;SYS                               ;TRUE        ;FALSE             
109;?                  ;BOROCHOVG                                                                         ;USER        ;?                              ;sap.bc.ina.service.v2.userRole::INA_USER                      ;_SYS_REPO                         ;FALSE       ;FALSE             
110;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.bc.ina.service.v2.userRole::INA_USER                      ;SYS                               ;TRUE        ;FALSE             
111;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.wdisp.admin::WebDispatcherAdmin                   ;SYS                               ;TRUE        ;FALSE             
112;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::SLP_CTS_ping_admin                      ;SYS                               ;TRUE        ;FALSE             
113;?                  ;sap.hana.xs.lm.roles::SLP_CTS_deploy_admin                                        ;ROLE        ;?                              ;sap.hana.xs.lm.roles::SLP_CTS_ping_admin                      ;_SYS_REPO                         ;FALSE       ;FALSE             
114;?                  ;sap.hana.xs.lm.roles::ExecuteTransport                                            ;ROLE        ;?                              ;sap.hana.xs.lm.roles::Display                                 ;_SYS_REPO                         ;FALSE       ;FALSE             
115;?                  ;sap.hana.xs.lm.roles::Developer                                                   ;ROLE        ;?                              ;sap.hana.xs.lm.roles::Display                                 ;_SYS_REPO                         ;FALSE       ;FALSE             
116;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::Display                                 ;SYS                               ;TRUE        ;FALSE             
117;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Execution                         ;SYS                               ;TRUE        ;FALSE             
118;?                  ;sap.hana.xs.lm.pe.roles::PE_Activation                                            ;ROLE        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Execution                         ;_SYS_REPO                         ;FALSE       ;FALSE             
119;?                  ;sap.hana.ide.roles::CatalogDeveloper                                              ;ROLE        ;?                              ;sap.hana.xs.dt.base::restapi                                  ;_SYS_REPO                         ;FALSE       ;FALSE             
120;?                  ;sap.hana.ide.roles::EditorDeveloper                                               ;ROLE        ;?                              ;sap.hana.xs.dt.base::restapi                                  ;_SYS_REPO                         ;FALSE       ;FALSE             
121;?                  ;sap.hana.ide.roles::SecurityAdmin                                                 ;ROLE        ;?                              ;sap.hana.xs.dt.base::restapi                                  ;_SYS_REPO                         ;FALSE       ;FALSE             
122;?                  ;sap.hana.ide.roles::TraceViewer                                                   ;ROLE        ;?                              ;sap.hana.xs.dt.base::restapi                                  ;_SYS_REPO                         ;FALSE       ;FALSE             
123;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.dt.base::restapi                                  ;SYS                               ;TRUE        ;FALSE             
124;?                  ;sap.hana.ide.roles::Developer                                                     ;ROLE        ;?                              ;sap.hana.xs.dt.base::restapi                                  ;_SYS_REPO                         ;FALSE       ;FALSE             
125;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::TrustStoreAdministrator              ;SYS                               ;TRUE        ;FALSE             
126;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::SQLCCAdministrator                   ;SYS                               ;TRUE        ;FALSE             
127;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::SMTPDestAdministrator                ;SYS                               ;TRUE        ;FALSE             
128;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::SAMLAdministrator                    ;SYS                               ;TRUE        ;FALSE             
129;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::RuntimeConfAdministrator             ;SYS                               ;TRUE        ;FALSE             
130;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::NetDestAdministrator                 ;SYS                               ;TRUE        ;FALSE             
131;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingViewer       ;SYS                               ;TRUE        ;FALSE             
132;?                  ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingAdministrator                    ;ROLE        ;?                              ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingViewer       ;_SYS_REPO                         ;FALSE       ;FALSE             
133;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::JobAdministrator                     ;SYS                               ;TRUE        ;FALSE             
134;?                  ;XSSQLCC_AUTO_USER_5E2492DBCDEDAE8BF85A0EA2741D2302882088A51A3ED5634ABEB402AE579A39;USER        ;?                              ;sap.hana.xs.admin.roles::JobAdministrator                     ;_SYS_REPO                         ;FALSE       ;FALSE             
135;?                  ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingAdministrator                    ;ROLE        ;?                              ;sap.hana.xs.admin.roles::JobAdministrator                     ;_SYS_REPO                         ;FALSE       ;FALSE             
136;?                  ;sap.hana.xs.admin.roles::JobSchedulerAdministrator                                ;ROLE        ;?                              ;sap.hana.xs.admin.roles::JobAdministrator                     ;_SYS_REPO                         ;FALSE       ;FALSE             
137;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::HTTPDestAdministrator                ;SYS                               ;TRUE        ;FALSE             
138;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.admin.roles::SolutionManagerMonitoring               ;SYS                               ;TRUE        ;FALSE             
139;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::SLP_CTS_deploy_admin                    ;SYS                               ;TRUE        ;FALSE             
140;?                  ;sap.hana.xs.lm.roles::Administrator                                               ;ROLE        ;?                              ;sap.hana.xs.lm.roles::SLP_CTS_deploy_admin                    ;_SYS_REPO                         ;FALSE       ;FALSE             
141;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::ExecuteTransport                        ;SYS                               ;TRUE        ;FALSE             
142;?                  ;sap.hana.xs.lm.roles::Administrator                                               ;ROLE        ;?                              ;sap.hana.xs.lm.roles::ExecuteTransport                        ;_SYS_REPO                         ;FALSE       ;FALSE             
143;?                  ;sap.hana.xs.lm.pe.roles::PE_Administrator                                         ;ROLE        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Activation                        ;_SYS_REPO                         ;FALSE       ;FALSE             
144;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.pe.roles::PE_Activation                        ;SYS                               ;TRUE        ;FALSE             
145;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingAdministrator;SYS                               ;TRUE        ;FALSE             
146;?                  ;XSSQLCC_AUTO_USER_D5D3B0C4F06A79377BE0D4198763EC5EDEBC14E80D1BB1BBABA9D3B5F3C4AD1A;USER        ;?                              ;sap.hana.xs.admin.roles::WebDispatcherHTTPTracingAdministrator;_SYS_REPO                         ;FALSE       ;FALSE             
147;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.admin.roles::JobSchedulerAdministrator            ;SYS                               ;TRUE        ;FALSE             
148;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.xs.lm.roles::Developer                               ;SYS                               ;TRUE        ;FALSE             
149;?                  ;sap.hana.xs.lm.roles::DevelopmentExpert                                           ;ROLE        ;?                              ;sap.hana.xs.lm.roles::Developer                               ;_SYS_REPO                         ;FALSE       ;FALSE             
150;?                  ;sap.hana.ide.roles::Developer                                                     ;ROLE        ;?                              ;sap.hana.ide.roles::TraceViewer                               ;_SYS_REPO                         ;FALSE       ;FALSE             
151;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.roles::TraceViewer                               ;SYS                               ;TRUE        ;FALSE             
152;?                  ;sap.hana.xs.ide.roles::TraceViewer                                                ;ROLE        ;?                              ;sap.hana.ide.roles::TraceViewer                               ;_SYS_REPO                         ;FALSE       ;FALSE             
153;?                  ;sap.hana.ide.roles::Developer                                                     ;ROLE        ;?                              ;sap.hana.ide.roles::SecurityAdmin                             ;_SYS_REPO                         ;FALSE       ;FALSE             
154;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.roles::SecurityAdmin                             ;SYS                               ;TRUE        ;FALSE             
155;?                  ;sap.hana.xs.ide.roles::SecurityAdmin                                              ;ROLE        ;?                              ;sap.hana.ide.roles::SecurityAdmin                             ;_SYS_REPO                         ;FALSE       ;FALSE             
156;?                  ;sap.hana.ide.roles::Developer                                                     ;ROLE        ;?                              ;sap.hana.ide.roles::EditorDeveloper                           ;_SYS_REPO                         ;FALSE       ;FALSE             
157;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.roles::EditorDeveloper                           ;SYS                               ;TRUE        ;FALSE             
158;?                  ;sap.hana.xs.ide.roles::EditorDeveloper                                            ;ROLE        ;?                              ;sap.hana.ide.roles::EditorDeveloper                           ;_SYS_REPO                         ;FALSE       ;FALSE             
159;?                  ;sap.hana.ide.roles::Developer                                                     ;ROLE        ;?                              ;sap.hana.ide.roles::CatalogDeveloper                          ;_SYS_REPO                         ;FALSE       ;FALSE             
160;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;sap.hana.ide.roles::CatalogDeveloper                          ;SYS                               ;TRUE        ;FALSE             
